"Reporter","Year","Sector","Subsector","Primary NAICS Code","NAICS Definition","Parent Company","City","County","Jurisdiction","Reported Emissions (MTCO2e)","Biogenic Carbon Dioxide (MTCO2e)","Carbon Dioxide (MTCO2e)","Methane (MTCO2e)","Nitrous Oxide (MTCO2e)","HFCs (MTCO2e)","PFCs (MTCO2e)","Sulfur Hexafluoride (MTCO2e)","Fluorinated - Other (MTCO2e)","Notes","Point Size","Location","Covered Emissions (MT CO2e)","CCA Status","Georeferenced Location"
"Puget Sound Energy - Jackson Prairie Gas Storage - Chehalis","2021","Natural Gas Systems","Natural Gas Storage","486210","Pipeline Transportation of Natural Gas","Puget Holdings LLC","Chehalis","Lewis","Southwest Clean Air Agency","13,690","0","11,361","2,323","6","0","0","0","0",,"1","46.53461, -122.838569",,,"POINT (-122.838569 46.53461)"
"Washington State University - Pullman","2022","Government","Education","611310","Colleges, Universities, and Professional Schools","State of Washington","Pullman","Whitman","Ecology: Eastern Regional Office","82,952","0","82,852","42","58","0","0","0","0",,"2","46.728702, -117.151481",,,"POINT (-117.151481 46.728702)"
"Washington Potato Company - Warden","2020","Food Production","Potato Products","311991","Perishable Prepared Food Manufacturing","Washington Potato Co.","Warden","Grant","Ecology: Eastern Regional Office","32,015","0","31,982","15","18","0","0","0","0",,"2","46.970469, -119.063631",,,"POINT (-119.063631 46.970469)"
"BP Products North America","2023","Supplier","Other Fuel Supplier","324110","Petroleum Refineries","BP America Inc","Houston","Harris",,"6,177,491","480,479","5,641,802","6,339","48,871","0","0","0","0",,,,"2,803,472","Covered Entity",
"Avista Corporation - supplier","2019","Supplier","Natural Gas Supplier",,,"Avista Corporation","Spokane","Spokane",,"1,159,719","0","1,158,522","546","651","0","0","0","0",,,,,,
"Ascensus Specialties LLC - Elma","2012","Chemicals","Other Chemicals","325180","Other Basic Inorganic Chemical Manufacturing","VSI Holdings LLC","Elma","Grays Harbor","Olympic Region Clean Air Agency","16,809","0","16,791","8","10","0","0","0","0",,"1","46.995459, -123.382316",,,"POINT (-123.382316 46.995459)"
"Northwest Pipeline Roosevelt C/S - Bickleton","2016","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Bickleton","Klickitat","Ecology: Central Regional Office","9,799","0","7,590","2,205","4","0","0","0","0",,"1","45.849504, -120.08083",,,"POINT (-120.08083 45.849504)"
"Emerald City Renewables, LLC- Graham","2022","Power Plants","Other Power, Heating, or Cooling Plants","221117","Biomass Electric Power Generation","Emerald City Renewables LLC","Graham","Pierce","Puget Sound Clean Air Agency","18,587","18,491","0","29","67","0","0","0","0",,"1","46.975533, -122.290871",,,"POINT (-122.290871 46.975533)"
"LANXESS Corporation - Kalama","2021","Chemicals","Other Chemicals","325199","All Other Basic Organic Chemical Manufacturing","Emerald Performance Materials LLC","Kalama","Cowlitz","Southwest Clean Air Agency","67,316","0","67,247","32","38","0","0","0","0",,"2","46.02191, -122.85698",,,"POINT (-122.85698 46.02191)"
"Northwest Pipeline Plymouth C/S - Plymouth","2021","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Plymouth","Benton","Benton Clean Air Agency","6,573","0","4,176","2,395","2","0","0","0","0",,"1","45.9309, -119.41019",,,"POINT (-119.41019 45.9309)"
"McKinley Paper Co. - Washington Mill - Port Angeles","2016","Pulp and Paper","Other Pulp and Paper","322121","Paper (except Newsprint) Mills","McKinley Paper Co.","Port Angeles","Clallam","Olympic Region Clean Air Agency","198,142","189,143","2,153","4,679","2,168","0","0","0","0",,"3","48.134623, -123.467524",,,"POINT (-123.467524 48.134623)"
"The Boeing Company - Fabrication (Frederickson Site) - Puyallup","2015","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Puyallup","Pierce","Puget Sound Clean Air Agency","20,833","0","20,812","10","12","0","0","0","0",,"1","47.088831, -122.34862",,,"POINT (-122.34862 47.088831)"
"Northwest Pipeline C/S - Snohomish","2018","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Snohomish","Snohomish","Puget Sound Clean Air Agency","50,061","0","48,486","1,548","27","0","0","0","0",,"2","47.78825, -122.05859",,,"POINT (-122.05859 47.78825)"
"Sierra Pacific Industries - Shelton","2021","Wood Products","Lumber Mills","321212","Softwood Veneer and Plywood Manufacturing","Simpson Lumber Company LLC","Shelton","Mason","Olympic Region Clean Air Agency","79,779","78,728","0","151","901","0","0","0","0",,"2","47.213448, -123.096517",,,"POINT (-123.096517 47.213448)"
"Western Washington University - Bellingham","2017","Government","Education","611310","Colleges, Universities, and Professional Schools","Western Washington University","Bellingham","Whatcom","Northwest Clean Air Agency","10,954","0","10,942","5","6","0","0","0","0",,"1","48.736499, -122.484714",,,"POINT (-122.484714 48.736499)"
"Emerald City Renewables, LLC- Graham","2015","Power Plants","Other Power, Heating, or Cooling Plants","221117","Biomass Electric Power Generation","Emerald City Renewables LLC","Graham","Pierce","Puget Sound Clean Air Agency","19,534","19,435","0","30","70","0","0","0","0",,"1","46.975533, -122.290871",,,"POINT (-122.290871 46.975533)"
"SDS Lumber Company - Bingen","2013","Wood Products","Lumber Mills","321113","Sawmills","SDS Lumber Company","Bingen","Klickitat","Ecology: Central Regional Office","106,615","105,116","95","202","1,202","0","0","0","0",,"3","45.713913, -121.468688",,,"POINT (-121.468688 45.713913)"
"Grant County Landfill 1 - Ephrata","2012","Waste","Landfills","562212","Solid Waste Landfill","Grant County Washington","Ephrata","Grant","Ecology: Eastern Regional Office","36,858","0","0","36,858","0","0","0","0","0",,"2","47.270759, -119.573764",,,"POINT (-119.573764 47.270759)"
"The Boeing Company - Renton","2012","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Renton","King","Puget Sound Clean Air Agency","17,868","0","17,849","9","10","0","0","0","0",,"1","47.498257, -122.211346",,,"POINT (-122.211346 47.498257)"
"Goodrich Corporation - Spokane","2021","Manufacturing","Transportation Industry","336413","Other Aircraft Parts and Auxiliary Equipment Manufacturing","Raytheon Technologies Corp","Spokane","Spokane","Spokane Regional Clean Air Agency","29,872","0","29,842","14","17","0","0","0","0",,"2","47.583604, -117.568511",,,"POINT (-117.568511 47.583604)"
"Nippon Dynawave - Longview","2018","Pulp and Paper","Kraft Mills","322121","Paper (except Newsprint) Mills","Nippon Paper Industries Co Ltd","Longview","Cowlitz","Ecology: Industrial Section","1,663,075","1,373,938","281,467","1,645","6,025","0","0","0","0","Formerly included North Pacific Paper Company before 2016.","4","46.130495, -122.983637",,,"POINT (-122.983637 46.130495)"
"Cosmo Specialty Fibers Inc - Cosmopolis","2019","Pulp and Paper","Sulfite Mills","322110","Pulp Mills","Cosmo Specialty Fibers Inc.","Cosmopolis","Grays Harbor","Ecology: Industrial Section","605,828","570,333","29,128","3,973","2,394","0","0","0","0",,"3","46.952907, -123.76211",,,"POINT (-123.76211 46.952907)"
"Puget Sound Energy - Mint Farm Generating Station - Longview","2012","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Longview","Cowlitz","Southwest Clean Air Agency","433,875","0","433,435","201","240","0","0","0","0",,"3","46.140095, -122.985138",,,"POINT (-122.985138 46.140095)"
"Boulder Park Generating Station - Spokane Valley","2012","Power Plants","Other Power, Heating, or Cooling Plants","221112","Fossil Fuel Electric Power Generation","Avista Corp.","Spokane Valley","Spokane","Spokane Regional Clean Air Agency","2,700","0","2,697","1","1","0","0","0","0",,"1","47.696999, -117.147223",,,"POINT (-117.147223 47.696999)"
"Northwest Pipeline Willard C/S - Cook","2014","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Cook","Skamania","Southwest Clean Air Agency","9,442","0","8,020","1,418","4","0","0","0","0",,"1","45.778087, -121.626311",,,"POINT (-121.626311 45.778087)"
"Cowlitz County Tennant Way Landfill - Longview","2013","Waste","Landfills","562212","Solid Waste Landfill","Cowlitz County Washington","Longview","Cowlitz","Southwest Clean Air Agency","19,709","0","0","19,709","0","0","0","0","0",,"1","46.107229, -122.905601",,,"POINT (-122.905601 46.107229)"
"Northwest Pipeline C/S - Goldendale","2023","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Goldendale","Klickitat","Ecology: Central Regional Office","20,993","0","18,668","2,315","10","0","0","0","0",,"1","45.771216, -120.799267","20,993","Covered Entity","POINT (-120.799267 45.771216)"
"Air Liquide Hydrogen Plant  - Anacortes","2019","Petroleum Systems","Other Petroleum Systems","325120","Industrial Gas Manufacturing","Air Liquide USA Inc.","Anacortes","Skagit","Northwest Clean Air Agency","66,107","0","66,107","0","0","0","0","0","0",,"2","48.465617, -122.556032",,,"POINT (-122.556032 48.465617)"
"Hampton Lumber Mills Washington Inc. - Randle","2020","Wood Products","Lumber Mills","321113","Sawmills","Hampton Lumber Mills Washington Inc.","Randle","Lewis","Southwest Clean Air Agency","67,883","66,989","0","129","766","0","0","0","0",,"2","46.533743, -121.917906",,,"POINT (-121.917906 46.533743)"
"Star Forge LLC dba Jorgensen Forge - Tukwila","2012","Metals","Other Metals","332111","Iron and Steel Forging","Jorgensen Forge Corp.","Tukwila","King","Puget Sound Clean Air Agency","20,917","0","20,896","10","11","0","0","0","0",,"1","47.526872, -122.303906",,,"POINT (-122.303906 47.526872)"
"Sierra Pacific Industries - Burlington - Mount Vernon","2014","Wood Products","Lumber Mills","321113","Sawmills","Sierra Pacific Industries","Mount Vernon","Skagit","Northwest Clean Air Agency","279,566","272,006","3,923","524","3,113","0","0","0","0",,"3","48.448553, -122.434613",,,"POINT (-122.434613 48.448553)"
"The Boeing Company: DC/MFC - Tukwila","2020","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Tukwila","King","Puget Sound Clean Air Agency","12,613","0","12,599","6","7","0","0","0","0",,"1","47.516246, -122.298613",,,"POINT (-122.298613 47.516246)"
"Northwest Pipeline C/S - Sumas","2023","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Sumas","Whatcom","Northwest Clean Air Agency","105,282","0","102,379","2,846","58","0","0","0","0",,"3","49.001, -122.2214","105,282","Covered Entity","POINT (-122.2214 49.001)"
"Naval Base Kitsap - Bremerton","2017","Government","National Security","928110","National Security","US Government","Bremerton","Kitsap","Puget Sound Clean Air Agency","46,625","0","46,576","22","27","0","0","0","0",,"2","47.557047, -122.645933",,,"POINT (-122.645933 47.557047)"
"Sonoco Products - Sumner","2020","Pulp and Paper","Other Pulp and Paper","322130","Paperboard Mills","Sonoco Products Company","Sumner","Pierce","Puget Sound Clean Air Agency","11,582","0","11,570","6","7","0","0","0","0",,"1","47.210641, -122.239474",,,"POINT (-122.239474 47.210641)"
"Grays Harbor Energy Center - Elma","2013","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Invenergy Investment Company LLC","Elma","Grays Harbor","EFSEC","579,561","0","578,972","269","320","0","0","0","0",,"3","46.9688, -123.48",,,"POINT (-123.48 46.9688)"
"University of Washington Seattle Campus - Seattle","2021","Government","Education","611310","Colleges, Universities, and Professional Schools","State of Washington","Seattle","King","Puget Sound Clean Air Agency","89,624","0","89,531","42","51","0","0","0","0",,"2","47.653614, -122.303608",,,"POINT (-122.303608 47.653614)"
"Sierra Pacific Industries - Centralia","2016","Wood Products","Lumber Mills","321113","Sawmills","Sierra Pacific Industries","Centralia","Lewis","Southwest Clean Air Agency","42,540","41,979","0","81","480","0","0","0","0",,"2","46.756413, -122.995433",,,"POINT (-122.995433 46.756413)"
"Ponderay Industries - Usk","2015","Pulp and Paper","Other Pulp and Paper","322122","Newsprint Mills","Ponderay Industries","Usk","Pend Oreille","Ecology: Eastern Regional Office","44,680","41,661","2,452","83","483","0","0","0","0",,"2","48.289771, -117.271359",,,"POINT (-117.271359 48.289771)"
"TransAlta Centralia Generation LLC - Centralia","2020","Power Plants","Coal Plants","221112","Fossil Fuel Electric Power Generation","Transalta Centralia Generation/Mining","Centralia","Lewis","Southwest Clean Air Agency","5,844,587","0","5,798,775","16,757","29,055","0","0","0","0","Unit 1 permanently shut down 12/31/20.","5","46.7559, -122.8578",,,"POINT (-122.8578 46.7559)"
"Central Washington University - Ellensburg","2017","Government","Education","611310","Colleges, Universities, and Professional Schools","State of Washington","Ellensburg","Kittitas","Ecology: Central Regional Office","14,479","0","14,465","7","8","0","0","0","0",,"1","47.003202, -120.544513",,,"POINT (-120.544513 47.003202)"
"Flashpoint Energy Partners, LLC - Tulsa","2023","Supplier","Other Fuel Supplier",,,"Flashpoint Industries, LLC","Tulsa","Tulsa",,"14,347","0","14,290","17","41","0","0","0","0",,,,,"Reporter",
"River Road Generating Plant - Vancouver","2018","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Clark Public Utilities","Vancouver","Clark","Southwest Clean Air Agency","474,250","0","473,768","220","262","0","0","0","0",,"3","45.64958, -122.724806",,,"POINT (-122.724806 45.64958)"
"Spectrum Glass Company - Woodinville","2012","Minerals","Glass Production","327211","Flat Glass Manufacturing","Vanguard Properties Co.","Woodinville","King","Puget Sound Clean Air Agency","12,025","0","12,014","5","6","0","0","0","0",,"1","47.777004, -122.148978",,,"POINT (-122.148978 47.777004)"
"Spokane Waste to Energy Facility - Spokane","2020","Power Plants","Other Power, Heating, or Cooling Plants","562213","Solid Waste Combustors and Incinerators","City of Spokane","Spokane","Spokane","Spokane Regional Clean Air Agency","234,431","140,581","88,699","2,009","3,142","0","0","0","0",,"3","47.626529, -117.504278",,,"POINT (-117.504278 47.626529)"
"Pembina Midstream (USA) Inc. - Houston","2022","Supplier","Other Fuel Supplier","221210","Natural Gas Distribution","Pembina NGL Corporation","Houston","Harris",,"48,646","0","48,451","58","137","0","0","0","0",,,,,,
"The Boeing Company - Auburn Site - Auburn","2013","Manufacturing","Transportation Industry","336413","Other Aircraft Parts and Auxiliary Equipment Manufacturing","The Boeing Company","Auburn","King","Puget Sound Clean Air Agency","38,558","0","38,518","18","22","0","0","0","0",,"2","47.285551, -122.242298",,,"POINT (-122.242298 47.285551)"
"Hampton Lumber Mills Washington Inc. - Morton","2015","Wood Products","Lumber Mills","321113","Sawmills","Hampton Lumber Mills Washington Inc.","Morton","Lewis","Southwest Clean Air Agency","31,789","31,370","0","60","359","0","0","0","0",,"2","46.565997, -122.269573",,,"POINT (-122.269573 46.565997)"
"Starbucks Kent Flexible Plant - Kent","2022","Food Production","Other Food Products","311920","Coffee and Tea Manufacturing","Starbucks Corp.","Kent","King","Puget Sound Clean Air Agency","12,664","0","12,651","6","7","0","0","0","0",,"1","47.436276, -122.237648",,,"POINT (-122.237648 47.436276)"
"Cascade Natural Gas Corporation LDC - statewide","2019","Natural Gas Systems","Natural Gas Local Distribution Companies","221210","Natural Gas Distribution","MDU Resources Group Inc.","Kennewick","Benton","Benton Clean Air Agency","23,358","0","242","23,116","0","0","0","0","0",,"1","46.21875, -119.22987",,,"POINT (-119.22987 46.21875)"
"Puget Sound Energy - Frederickson Generating Station - Tacoma","2019","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Tacoma","Pierce","Puget Sound Clean Air Agency","70,031","0","69,958","33","40","0","0","0","0",,"2","47.079716, -122.364711",,,"POINT (-122.364711 47.079716)"
"Matheson - Anacortes","2019","Petroleum Systems","Other Petroleum Systems","325120","Industrial Gas Manufacturing","Linde Gas North America LLC","Anacortes","Skagit","Northwest Clean Air Agency","41,845","0","41,845","0","0","0","0","0","0",,"2","48.467646, -122.554343",,,"POINT (-122.554343 48.467646)"
"Packaging Corporation of America - Wallula","2020","Pulp and Paper","Kraft Mills","322121","Paper (except Newsprint) Mills","Packaging Corp of America","Wallula","Walla Walla","Ecology: Industrial Section","853,083","630,030","207,409","14,183","1,461","0","0","0","0",,"3","46.10396, -118.9184",,,"POINT (-118.9184 46.10396)"
"Hampton Lumber Mills Washington Inc. - Darrington","2012","Wood Products","Lumber Mills","321113","Sawmills","Hampton Lumber Mills Washington Inc.","Darrington","Snohomish","Puget Sound Clean Air Agency","81,603","79,856","0","681","1,066","0","0","0","0",,"2","48.262797, -121.597608",,,"POINT (-121.597608 48.262797)"
"Northwest Pipeline C/S - Sumas","2018","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Sumas","Whatcom","Northwest Clean Air Agency","90,783","0","86,855","3,879","49","0","0","0","0",,"2","49.001, -122.2214",,,"POINT (-122.2214 49.001)"
"Puget Sound Energy - Ferndale Generating Station - Ferndale","2014","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Ferndale","Whatcom","Northwest Clean Air Agency","333,193","0","332,855","154","184","0","0","0","0",,"3","48.828707, -122.685533",,,"POINT (-122.685533 48.828707)"
"Avista Corporation LDC - WA - statewide","2016","Natural Gas Systems","Natural Gas Local Distribution Companies","221210","Natural Gas Distribution","Avista Corp.","Spokane","Spokane","Spokane Regional Clean Air Agency","15,513","0","19","15,494","0","0","0","0","0",,"1","47.673662, -117.388735",,,"POINT (-117.388735 47.673662)"
"The Boeing Company: Boeing Plant 2 - Seattle","2021","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Seattle","King","Puget Sound Clean Air Agency","21,233","0","21,211","10","12","0","0","0","0",,"1","47.532524, -122.311623",,,"POINT (-122.311623 47.532524)"
"J.R. Simplot Company - Othello","2023","Food Production","Potato Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","J.R. Simplot Company","Othello","Adams","Ecology: Eastern Regional Office","107,817","0","53,175","54,613","30","0","0","0","0",,"3","46.837778, -119.176389","107,817","Covered Entity","POINT (-119.176389 46.837778)"
"Gas Transmission Northwest Compressor Station 8, LLC -Wallula","2013","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","TransCanada Northern Border Inc.","Wallula","Walla Walla","Ecology: Eastern Regional Office","100,354","0","94,964","5,337","53","0","0","0","0",,"3","46.053153, -118.843934",,,"POINT (-118.843934 46.053153)"
"Hidden Valley Landfill - Puyallup","2022","Waste","Landfills","562212","Solid Waste Landfill","Waste Connections US Inc.","Puyallup","Pierce","Puget Sound Clean Air Agency","98,816","1,609","0","97,202","6","0","0","0","0",,"2","47.095, -122.2878",,,"POINT (-122.2878 47.095)"
"Avista Corporation LDC - WA - statewide","2021","Natural Gas Systems","Natural Gas Local Distribution Companies","221210","Natural Gas Distribution","Avista Corp.","Spokane","Spokane","Spokane Regional Clean Air Agency","16,108","0","19","16,089","0","0","0","0","0",,"1","47.673662, -117.388735",,,"POINT (-117.388735 47.673662)"
"Tree Top - Selah Campus","2022","Food Production","Fruit Products","311423","Dried and Dehydrated Food Manufacturing","Tree Top Inc.","Selah","Yakima","Yakima Regional Clean Air Agency","16,908","0","16,890","8","10","0","0","0","0",,"1","46.64992, -120.52755",,,"POINT (-120.52755 46.64992)"
"Phillips 66 Ferndale Refinery - Ferndale","2020","Petroleum Systems","Petroleum Refineries","324110","Petroleum Refineries","Phillips 66 Company","Ferndale","Whatcom","Northwest Clean Air Agency","801,159","0","797,447","1,728","1,984","0","0","0","0",,"3","48.830142, -122.692114",,,"POINT (-122.692114 48.830142)"
"Cowlitz County Tennant Way Landfill - Longview","2023","Waste","Landfills","562212","Solid Waste Landfill","Cowlitz County Washington","Longview","Cowlitz","Southwest Clean Air Agency","29,327","2,529","0","26,789","9","0","0","0","0","Emissions under review.","2","46.107229, -122.905601",,"Reporter","POINT (-122.905601 46.107229)"
"TransAlta Centralia Generation LLC - Centralia","2013","Power Plants","Coal Plants","221112","Fossil Fuel Electric Power Generation","Transalta Centralia Generation/Mining","Centralia","Lewis","Southwest Clean Air Agency","7,547,845","0","7,488,677","21,643","37,525","0","0","0","0",,"5","46.7559, -122.8578",,,"POINT (-122.8578 46.7559)"
"Horse Heaven Cattle Feeders, Inc. - Sunnyside","2012","Livestock","Cattle Feedlots","112112","Cattle Feedlots","Horse Heaven Cattle Feeders, Inc.","Sunnyside","Yakima","Yakima Regional Clean Air Agency","17,421","0","0","1,102","16,319","0","0","0","0",,"1","46.284622, -120.019668",,,"POINT (-120.019668 46.284622)"
"CHS Inc.","2023","Supplier","Other Fuel Supplier","424720","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","CHS Inc.","Inver Grove Heights","Dakota",,"451,648","10,578","437,553","388","3,130","0","0","0","0",,,,"366,752","Covered Entity",
"Interfor US, Inc. - Port Angeles","2019","Wood Products","Lumber Mills","321113","Sawmills","Interfor US Inc.","Port Angeles","Clallam","Olympic Region Clean Air Agency","41,886","41,334","0","79","473","0","0","0","0",,"2","48.103425, -123.518642",,,"POINT (-123.518642 48.103425)"
"Lamb Weston - Warden","2021","Food Production","Potato Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.","Warden","Grant","Ecology: Eastern Regional Office","15,407","0","15,391","7","9","0","0","0","0",,"1","46.971504, -119.055427",,,"POINT (-119.055427 46.971504)"
"NW Natural - supplier","2020","Supplier","Natural Gas Supplier","221210","Natural Gas Distribution",,"Portland","Multnomah",,"479,845","0","479,353","225","268","0","0","0","0",,,,,,
"The Boeing Company - Auburn Site - Auburn","2018","Manufacturing","Transportation Industry","336413","Other Aircraft Parts and Auxiliary Equipment Manufacturing","The Boeing Company","Auburn","King","Puget Sound Clean Air Agency","37,028","0","36,990","18","21","0","0","0","0",,"2","47.285551, -122.242298",,,"POINT (-122.242298 47.285551)"
"Cascade Natural Gas Corporation LDC - statewide","2014","Natural Gas Systems","Natural Gas Local Distribution Companies","221210","Natural Gas Distribution","MDU Resources Group Inc.","Kennewick","Benton","Benton Clean Air Agency","13,506","0","63","13,443","0","0","0","0","0",,"1","46.21875, -119.22987",,,"POINT (-119.22987 46.21875)"
"Wilson Oil Inc","2023","Supplier","Other Fuel Supplier","424720","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","Wilson Oil Inc","Longview","Cowlitz",,"294,993","13,279","278,159","296","3,260","0","0","0","0",,,,"277,882","Covered Entity",
"City of Tacoma Solid Waste Facility - Tacoma","2013","Waste","Landfills","562212","Solid Waste Landfill","City of Tacoma","Tacoma","Pierce","Puget Sound Clean Air Agency","26,643","0","0","26,643","0","0","0","0","0",,"2","47.223413, -122.499775",,,"POINT (-122.499775 47.223413)"
"River Road Generating Plant - Vancouver","2013","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Clark Public Utilities","Vancouver","Clark","Southwest Clean Air Agency","668,345","0","667,667","310","369","0","0","0","0",,"3","45.64958, -122.724806",,,"POINT (-122.724806 45.64958)"
"Weyerhaeuser Raymond Lumber - Raymond","2015","Wood Products","Lumber Mills","321113","Sawmills","Weyerhaeuser Co.","Raymond","Pacific","Olympic Region Clean Air Agency","45,228","44,632","0","86","510","0","0","0","0",,"2","46.688088, -123.737495",,,"POINT (-123.737495 46.688088)"
"City of Enumclaw Gas Utility - supplier","2016","Supplier","Natural Gas Supplier","221210","Natural Gas Distribution","City of Enumclaw","Enumclaw","King",,"21,131","0","21,109","10","12","0","0","0","0",,,,,,
"Keyes Fibre Corporation - Wenatchee","2020","Pulp and Paper","Other Pulp and Paper","322299","All Other Converted Paper Product Manufacturing","Tekni-Plex Wenatchee Fiber Consumer Porducts","Wenatchee","Chelan","Ecology: Central Regional Office","17,588","0","17,570","8","10","0","0","0","0",,"1","47.485987, -120.316363",,,"POINT (-120.316363 47.485987)"
"Sierra Pacific Industries - Aberdeen","2018","Wood Products","Lumber Mills","321113","Sawmills","Sierra Pacific Industries","Aberdeen","Grays Harbor","Olympic Region Clean Air Agency","247,114","243,145","721","467","2,782","0","0","0","0",,"3","46.971875, -123.775526",,,"POINT (-123.775526 46.971875)"
"Lamb Weston - Pasco","2012","Food Production","Potato Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.","Pasco","Franklin","Ecology: Eastern Regional Office","48,326","0","48,276","23","27","0","0","0","0",,"2","46.288137, -119.115336",,,"POINT (-119.115336 46.288137)"
"REG Grays Harbor LLC - Hoquiam","2019","Petroleum Systems","Other Petroleum Systems","325199","All Other Basic Organic Chemical Manufacturing","Chevron Corporation","Hoquiam","Grays Harbor","Olympic Region Clean Air Agency","17,720","0","17,702","8","10","0","0","0","0",,"1","46.968196, -123.853622",,,"POINT (-123.853622 46.968196)"
"SDS Lumber Company - Bingen","2019","Wood Products","Lumber Mills","321113","Sawmills","SDS Lumber Company","Bingen","Klickitat","Ecology: Central Regional Office","35,326","34,680","183","67","397","0","0","0","0",,"2","45.713913, -121.468688",,,"POINT (-121.468688 45.713913)"
"King County Solid Waste Cedar Hills Landfill - Maple Valley","2021","Waste","Landfills","562212","Solid Waste Landfill","King County Solid Waste Division","Maple Valley","King","Puget Sound Clean Air Agency","245,042","0","179","244,862","0","0","0","0","0",,"3","47.462625, -122.046025",,,"POINT (-122.046025 47.462625)"
"Greif, Tacoma Mill - Tacoma","2018","Pulp and Paper","Other Pulp and Paper","322130","Paperboard Mills","Paperboard Parent Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","14,859","0","14,844","7","8","0","0","0","0",,"1","47.239235, -122.421909",,,"POINT (-122.421909 47.239235)"
"Tyson Fresh Meats, Inc. - Wallula","2022","Food Production","Meat Products","311611","Animal (except Poultry) Slaughtering","Tyson Foods, Inc","Wallula","Walla Walla","Ecology: Eastern Regional Office","94,596","0","25,967","68,613","16","0","0","0","0",,"2","46.137521, -118.913051",,,"POINT (-118.913051 46.137521)"
"Puget Sound Energy - Goldendale Generating Station - Goldendale","2022","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Goldendale","Klickitat","Ecology: Central Regional Office","595,946","0","595,341","276","329","0","0","0","0",,"3","45.8114, -120.833",,,"POINT (-120.833 45.8114)"
"Puget Sound Energy - Whitehorn Generating Station - Blaine","2012","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Blaine","Whatcom","Northwest Clean Air Agency","27,310","0","27,279","14","18","0","0","0","0",,"2","48.885475, -122.724299",,,"POINT (-122.724299 48.885475)"
"Marathon Anacortes Refinery - Anacortes","2014","Petroleum Systems","Petroleum Refineries","324110","Petroleum Refineries","Marathon Petroleum Corp","Anacortes","Skagit","Northwest Clean Air Agency","1,344,336","0","1,335,703","4,083","4,550","0","0","0","0",,"4","48.493816, -122.564845",,,"POINT (-122.564845 48.493816)"
"Northwest Pipeline C/S - Goldendale","2013","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Goldendale","Klickitat","Ecology: Central Regional Office","35,893","0","29,936","5,940","17","0","0","0","0",,"2","45.771216, -120.799267",,,"POINT (-120.799267 45.771216)"
"WestRock LLC - Longview","2021","Pulp and Paper","Kraft Mills","322130","Paperboard Mills","Westrock Corp.","Longview","Cowlitz","Ecology: Industrial Section","1,475,085","1,271,745","197,077","1,228","5,035","0","0","0","0",,"4","46.10361, -122.92167",,,"POINT (-122.92167 46.10361)"
"Tree Top - Prosser","2023","Food Production","Fruit Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Tree Top Inc.","Prosser","Benton","Benton Clean Air Agency","18,249","0","18,231","9","10","0","0","0","0",,"1","46.21842, -119.73397",,"Reporter","POINT (-119.73397 46.21842)"
