"Reporter","Year","Sector","Subsector","Primary NAICS Code","NAICS Definition","Parent Company","City","County","Jurisdiction","Reported Emissions (MTCO2e)","Biogenic Carbon Dioxide (MTCO2e)","Carbon Dioxide (MTCO2e)","Methane (MTCO2e)","Nitrous Oxide (MTCO2e)","HFCs (MTCO2e)","PFCs (MTCO2e)","Sulfur Hexafluoride (MTCO2e)","Fluorinated - Other (MTCO2e)","Notes","Point Size","Location","Covered Emissions (MT CO2e)","CCA Status","Georeferenced Location"
"Georgia-Pacific Gypsum LLC - Tacoma","2018","Manufacturing","Building Products","327420","Gypsum Product Manufacturing","Koch Industries Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","49,065","0","49,015","23","27","0","0","0","0",,"2","47.269558, -122.394869",,,"POINT (-122.394869 47.269558)"
"Analog Devices, Inc. - Camas","2014","Manufacturing","Electronics Industry","334413","Semiconductor and Related Device Manufacturing","Linear Technology Corporation","Camas","Clark","Southwest Clean Air Agency","30,091","0","1,663","1","1,110","1,322","22,666","3,185","144",,"2","45.598844, -122.45232",,,"POINT (-122.45232 45.598844)"
"Goodrich Corporation - Spokane","2015","Manufacturing","Transportation Industry","336413","Other Aircraft Parts and Auxiliary Equipment Manufacturing","Raytheon Technologies Corp","Spokane","Spokane","Spokane Regional Clean Air Agency","42,844","0","42,805","18","21","0","0","0","0",,"2","47.583604, -117.568511",,,"POINT (-117.568511 47.583604)"
"Owens-Brockway Glass Container Inc Plant #2 - Kalama","2012","Minerals","Glass Production","327213","Glass Container Manufacturing","O-I Glass Inc.","Kalama","Cowlitz","Southwest Clean Air Agency","10,090","0","10,084","3","3","0","0","0","0",,"1","46.031656, -122.866241",,,"POINT (-122.866241 46.031656)"
"Horn Rapids Sanitary Landfill - Richland","2017","Waste","Landfills","562212","Solid Waste Landfill","City of Richland","Richland","Benton","Benton Clean Air Agency","18,036","0","0","18,036","0","0","0","0","0",,"1","46.346663, -119.348118",,,"POINT (-119.348118 46.346663)"
"Hartland Fuel Products, LLC dba HTP Energy","2022","Supplier","Other Fuel Supplier","424720","Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","PetroEnergy, LLC","Onalaska","La Crosse",,"596,816","0","595,129","483","1,204","0","0","0","0",,,,,,
"Parkland Corporation - Calgary","2023","Supplier","Other Fuel Supplier",,,"Parkland Corporation","Calgary","MD of Foothills No. 31",,"13,865","0","13,854","2","10","0","0","0","0",,,,"13,865","Covered Entity",
"CertainTeed Gypsum - Seattle","2021","Manufacturing","Building Products","327420","Gypsum Product Manufacturing","Saint-Gobain Corporation","Seattle","King","Puget Sound Clean Air Agency","55,216","0","55,159","26","31","0","0","0","0",,"2","47.548056, -122.336944",,,"POINT (-122.336944 47.548056)"
"The Boeing Company - Fabrication (Frederickson Site) - Puyallup","2019","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Puyallup","Pierce","Puget Sound Clean Air Agency","19,016","0","18,997","9","11","0","0","0","0",,"1","47.088831, -122.34862",,,"POINT (-122.34862 47.088831)"
"Western Washington University - Bellingham","2023","Government","Education","611310","Colleges, Universities, and Professional Schools","Western Washington University","Bellingham","Whatcom","Northwest Clean Air Agency","11,165","0","11,154","5","6","0","0","0","0",,"1","48.736499, -122.484714",,"Reporter","POINT (-122.484714 48.736499)"
"Northwest Pipeline C/S - Sumas","2019","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Sumas","Whatcom","Northwest Clean Air Agency","79,135","0","75,413","3,680","42","0","0","0","0",,"2","49.001, -122.2214",,,"POINT (-122.2214 49.001)"
